"date","opponent","home_away","cal_score","opp_score","duration","attendance"
2010-09-04,"UC Davis","home",52,3,175,58040
2010-09-11,"Colorado","home",52,7,187,55440
2010-09-17,"Nevada","away",31,52,199,28809
2010-09-25,"Arizona","away",9,10,183,51906
2010-10-09,"UCLA","home",35,7,184,61664
2010-10-16,"USC","away",14,48,187,72386
2010-10-23,"Arizona State","away",50,17,189,51599
2010-10-30,"Oregon State","away",7,35,183,45439
2010-11-06,"Washington State","away",20,13,180,17648
2010-11-13,"Oregon","home",13,15,188,65963
2010-11-20,"Stanford","home",14,48,180,67793
2010-11-27,"Washington","home",13,16,168,44613
2011-09-03,"Fresno State","away",36,21,200,31563
2011-09-10,"Colorado","away",36,33,217,49532
2011-09-17,"Presbyterian","home",63,12,187,33952
2011-09-24,"Washington","away",23,31,194,60437
2011-10-06,"Oregon","away",15,43,218,58796
2011-10-13,"USC","home",9,30,193,44043
2011-10-22,"Utah","home",34,10,169,35182
2011-10-29,"UCLA","away",14,31,186,55604
2011-11-05,"Washington State","away",30,7,181,35506
2011-11-12,"Oregon State","away",23,6,170,39602
2011-11-19,"Stanford","away",28,31,203,50360
2011-11-25,"Arizona State","away",47,38,217,52350
2011-12-28,"Texas","away",10,21,212,56313
2012-09-01,"Nevada","home",24,31,204,63186
2012-09-08,"Southern Utah","home",50,31,203,57745
2012-09-15,"Ohio State","away",28,35,214,105232
2012-09-22,"USC","away",9,27,193,83421
2012-09-29,"Arizona State","away",17,27,211,51634
2012-10-06,"UCLA","home",43,17,191,57643
2012-10-13,"Washington State","away",31,17,212,27339
2012-10-20,"Stanford","home",3,21,197,61024
2012-10-27,"Utah","away",27,49,193,45017
2012-11-02,"Washington","home",13,21,211,42226
2012-11-10,"Oregon","home",17,59,198,57672
2012-11-17,"Oregon State","away",14,62,212,43779
2013-08-31,"Northwestern","home",30,44,230,58816
2013-09-07,"Portland State","away",37,30,220,43594
2013-09-14,"Ohio State","away",34,52,212,62467
2013-09-28,"Oregon","away",16,55,205,56987
2013-10-05,"Washington State","away",22,44,232,44682
2013-10-12,"UCLA","away",10,37,186,84272
2013-10-19,"Oregon State","away",17,49,200,44671
2013-10-26,"Washington","away",17,41,203,66328
2013-11-02,"Arizona","home",28,33,208,41874
2013-11-09,"USC","home",28,62,206,49199
2013-11-16,"Colorado","away",24,41,204,38252
2013-11-23,"Stanford","away",13,63,201,50424
2014-08-30,"Northwestern","away",31,24,204,34228
2014-09-06,"Sacramento State","away",55,14,207,48185
2014-09-20,"Arizona","away",45,49,223,45595
2014-09-27,"Colorado","home",59,56,241,39821
2014-10-04,"Washington State","away",60,59,244,30020
2014-10-11,"Washington","home",7,31,194,44449
2014-10-18,"UCLA","home",34,36,220,49257
2014-10-24,"Oregon","home",41,59,228,55575
2014-11-01,"Oregon State","away",45,31,215,42479
2014-11-13,"USC","away",30,38,214,64615
2014-11-22,"Stanford","home",17,38,215,56483
2014-11-29,"BYU","home",35,42,209,47856
2015-09-05,"Grambling State","away",73,14,198,60606
2015-09-12,"San Diego State","away",35,7,184,50830
2015-09-19,"Texas","away",45,44,233,91568
2015-09-26,"Washington","away",30,24,207,61066
2015-10-03,"Washington State","away",34,28,200,42042
2015-10-10,"Utah","away",24,30,204,47798
2015-10-22,"UCLA","away",24,40,209,57046
2015-10-31,"USC","home",21,27,185,52060
2015-11-07,"Oregon","away",28,44,210,56604
2015-11-14,"Oregon State","away",54,24,208,41874
2015-11-21,"Stanford","away",22,35,182,51424
2015-11-28,"Arizona State","away",48,46,212,45385
2015-12-29,"Air Force","away",55,36,217,38915
2016-08-27,"Hawaii","home",51,31,216,61247
2016-09-10,"San Diego State","away",40,45,243,42473
2016-09-17,"Texas","home",50,43,236,50448
2016-09-24,"Arizona State","away",41,51,220,49295
2016-10-01,"Utah","home",28,23,201,46618
2016-10-08,"Oregon State","away",44,47,243,34066
2016-10-21,"Oregon","home",52,49,258,43048
2016-10-27,"USC","away",24,45,207,61725
2016-11-05,"Washington","home",27,66,215,47756
2016-11-12,"Washington State","away",21,56,218,30135
2016-11-19,"Stanford","home",31,45,196,52266
2016-11-26,"UCLA","home",36,10,184,39633
2017-09-02,"North Carolina","away",35,30,212,49500
2017-09-09,"Weber State","away",33,20,199,36209
2017-09-16,"Ole Miss","home",27,16,210,37125
2017-09-23,"USC","home",20,30,215,46747
2017-09-30,"Oregon","away",24,45,205,55707
2017-10-07,"Washington","away",7,38,184,67429
2017-10-13,"Washington State","away",37,3,206,26244
2017-10-21,"Arizona","home",44,45,223,37525
2017-10-28,"Colorado","away",28,44,199,47216
2017-11-04,"Oregon State","away",37,23,191,35440
2017-11-18,"Stanford","away",14,17,181,51424
2017-11-24,"UCLA","away",27,30,208,50287
2018-09-01,"North Carolina","home",24,17,210,42168
2018-09-08,"BYU","away",21,18,209,52602
2018-09-15,"Idaho State","away",45,23,193,37104
2018-09-29,"Oregon","home",24,42,193,43448
2018-10-06,"Arizona","away",17,24,200,44253
2018-10-13,"UCLA","home",7,37,185,45889
2018-10-20,"Oregon State","away",49,7,185,32390
2018-10-27,"Washington","home",12,10,177,39138
2018-11-03,"Washington State","away",13,19,197,32952
